City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Mataura,NZ,57.47,few clouds,-46.1927,168.8643,Ellie's Villa
3,Brae,GB,39.11,overcast clouds,60.3964,-1.353,Busta House Hotel
7,Komsomolskiy,UZ,38.12,overcast clouds,40.4272,71.7189,Ikathouse
8,Matamba,TZ,55.56,overcast clouds,-8.9833,33.9667,Lena blumen lodge
19,Huilong,CN,41.99,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
20,Strezhevoy,RU,15.78,overcast clouds,60.7333,77.5889,Sibiryachka
21,Ushuaia,AR,49.66,few clouds,-54.8,-68.3,Albatross Hotel
22,Diffa,NE,59.77,clear sky,13.3154,12.6113,ProDAF/Diffa
32,Nikolskoye,RU,27.72,overcast clouds,59.7035,30.7861,Tourist House - Sablino
33,Biltine,TD,58.96,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
35,Severo-Kurilsk,RU,29.71,broken clouds,50.6789,156.125,Kak Doma
37,Olafsvik,IS,29.44,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
38,Lebu,CL,57.72,clear sky,-37.6167,-73.65,Hostal Las Lilas
39,Hamilton,US,18.99,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
40,Punta Arenas,CL,53.71,scattered clouds,-53.15,-70.9167,Hotel Hain
44,Asfi,MA,55.9,scattered clouds,32.2994,-9.2372,Hôtel Abda
45,Mehamn,NO,22.84,broken clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
50,Odessa,UA,33.73,clear sky,46.4775,30.7326,Londonskaya Hotel
54,Jamestown,US,12.72,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
58,Orangeburg,US,40.51,clear sky,33.4918,-80.8557,Palmetto Inn & Suites
60,Nemuro,JP,27.03,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
62,Ila,NO,37.96,overcast clouds,63.4305,10.3705,Comfort Hotel Trondheim
64,Asau,RO,28.4,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
66,Longyearbyen,SJ,10.24,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
69,Torbay,CA,42.76,moderate rain,47.6666,-52.7314,Gallows Cove
70,Ribeira Grande,PT,59.58,clear sky,38.5167,-28.7,Quinta da Meia Eira
77,Tateyama,JP,47.14,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
78,Nagato,JP,40.95,scattered clouds,34.3833,131.2,いそう庵
81,Ojinaga,MX,48.42,clear sky,29.5667,-104.4167,Suites Las Palmas
84,Russell,US,38.8,clear sky,32.3502,-85.1999,Macs
87,Balykshi,KZ,28.4,broken clouds,47.0667,51.8667,Гостиница Golden Rose
90,Katsuura,JP,42.91,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
99,Eureka,US,47.93,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
108,Gat,IL,52.39,broken clouds,31.61,34.7642,OlusHome
111,Bluff,NZ,57.79,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
112,Portland,US,46.85,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
113,Fortuna,US,47.66,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
117,Minot,US,34.79,mist,48.2325,-101.2963,Noble Inn
120,Klaksvik,FO,32.92,overcast clouds,62.2266,-6.589,Airbnb rooms
122,Zhanaozen,KZ,27.7,overcast clouds,43.3,52.8,K.korabay 28A
123,Seoul,KR,35.2,few clouds,37.5683,126.9778,LOTTE Hotel Seoul
127,Del Rio,US,48.31,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
128,Tasiilaq,GL,14.16,overcast clouds,65.6145,-37.6368,The Red House
129,Kodiak,US,38.71,moderate rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
131,Dongsheng,CN,18.1,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
138,Kosjeric,RS,31.35,broken clouds,43.9961,19.9069,Hotel Olympic
143,Husavik,IS,30.11,light snow,66.0449,-17.3389,Bjarnabúð
145,Metz,FR,43.84,clear sky,49.1191,6.1727,ibis Metz Centre Cathédrale
152,Lompoc,US,57.61,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
156,Goldap,PL,32.81,overcast clouds,54.3063,22.3036,Hotel Ventus Natural & Medical Spa
159,Port Hardy,CA,44.78,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
168,Huron,US,15.98,few clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
176,Butembo,CD,58.69,overcast clouds,0.15,29.2833,Hotel Butembo
179,Fredericksburg,US,28.62,clear sky,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
180,Walla Walla,US,45.86,clear sky,46.0646,-118.343,"Holiday Inn Express Walla Walla, an IHG Hotel"
185,Asyut,EG,42.98,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
188,Jumla,NP,45.54,clear sky,29.2747,82.1838,Royal Garden Hotel
193,Magaria,NE,57.11,clear sky,12.9983,8.9099,Chez Honorable Chapiou
194,Rawson,AR,59.77,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
197,Uhlirske Janovice,CZ,38.93,light rain,49.8802,15.0648,Lake House Vavrinec
199,Iwaki,JP,41.05,scattered clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
200,Carthage,TN,53.46,scattered clouds,36.8611,10.3316,Dar Fatma
202,Ancud,CL,55.42,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
205,Kezmarok,SK,32.27,few clouds,49.1357,20.4335,HOTEL HVIEZDOSLAV
206,Shelburne,CA,12.09,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
211,Berlevag,NO,24.33,broken clouds,70.8578,29.0864,Kvitbrakka
213,Cedar City,US,29.17,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
214,Haines Junction,CA,26.55,overcast clouds,60.7522,-137.5108,Parkside Inn
219,Kaitangata,NZ,54.93,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
220,Buraydah,SA,43.25,clear sky,26.326,43.975,فندق راحة السلام
223,Dunedin,NZ,57.79,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
226,Faya,SA,48.72,clear sky,18.3851,42.4509,املاك خالد الشعشوع
235,Rio Gallegos,AR,57.25,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
236,Jalu,LY,52.97,clear sky,29.0331,21.5482,صاحبة الفخامة
240,Roald,NO,37.99,snow,62.5833,6.1333,Flem Cabins
241,Homer,US,35.49,overcast clouds,59.6425,-151.5483,Beluga Lake Lodge
243,Riesa,DE,43.12,light rain,51.3,13.3,Mercure Hotel Riesa Dresden Elbland
244,Najran,SA,56.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
250,Mandalgovi,MN,12.07,clear sky,45.7625,106.2708,В.Ганбат
256,Playa Vicente,MX,54.43,scattered clouds,17.8333,-95.8167,"Hotel ""Imperio"""
269,Erding,DE,36.81,clear sky,48.306,11.9069,Gasthaus & Hotel zum ERDINGER Weißbräu Erding
272,Margate,GB,50.31,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
273,Ergani,TR,25.52,scattered clouds,38.2653,39.7621,Serkan Hotel
274,Tuatapere,NZ,57.81,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
275,Dukstas,LT,32.02,light snow,55.5333,26.3333,Sodyba pas Rimantą
277,Morro Bay,US,57.76,scattered clouds,35.3658,-120.8499,Inn at Morro Bay
279,Traverse City,US,23.74,overcast clouds,44.7631,-85.6206,Bayshore Resort
280,Lata,PT,48.06,clear sky,40.1629,-8.3327,Casa Maquia
288,Viedma,AR,54.79,clear sky,-40.8135,-62.9967,Hotel Cristal
290,Lexington,US,21.34,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
291,Palmer,US,17.15,clear sky,42.1584,-72.3287,Wedgewood Motel
294,Tantoyuca,MX,44.37,clear sky,21.35,-98.2333,HOTEL VICTORIA
295,Leninskoye,KZ,47.98,light rain,41.7589,69.3864,Leonid Rakhmanov
296,Winslow,US,30.31,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
300,Pafos,CY,49.78,few clouds,34.7667,32.4167,Elysium Hotel
303,Pacifica,US,57.16,clear sky,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
304,Surt,LY,59.23,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
307,Riyadh,SA,46.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
308,Saint Anthony,US,26.44,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
317,Gazojak,TM,38.95,overcast clouds,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
323,Umba,RU,17.37,snow,66.6871,34.3429,Cedar Grass Beloye More
326,Shingu,JP,41.99,broken clouds,33.7333,135.9833,Shingu UI Hotel
330,Dharchula,IN,54.82,clear sky,29.85,80.5333,Mahara Hotel
332,Hasaki,JP,46.29,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
333,Opelousas,US,39.09,clear sky,30.5335,-92.0815,"Holiday Inn & Suites Opelousas, an IHG Hotel"
335,Preobrazheniye,RU,17.37,clear sky,42.9019,133.9064,Campsite Orlan
341,Saint George,US,48.34,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
346,Kolvereid,NO,28.89,light snow,64.8655,11.6047,Kolvereid Familiecamping
351,Scottsbluff,US,36.28,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
354,Nueve De Julio,AR,56.71,broken clouds,-35.4444,-60.8831,Grand Hotel Libertad - GHL
355,Prince George,CA,40.44,overcast clouds,53.9166,-122.753,Canadas Best Value Inn Prince George
358,Medford,US,46.13,clear sky,42.3265,-122.8756,Rodeway Inn
364,Yamada,JP,34.43,broken clouds,39.4667,141.95,Iroha-ya Inn
368,Terney,RU,14.52,few clouds,45.0503,136.6092,"Hotel ""Ternay"""
371,Xichang,CN,44.28,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
376,Praia Da Vitoria,PT,57.45,broken clouds,38.7333,-27.0667,Hotel Branco I
383,Bani Walid,LY,55.83,overcast clouds,31.7566,13.9942,منزل مفتاح محمد الزلبي
384,Franklin,US,16.43,mist,39.9667,-83.0166,Courtyard by Marriott Columbus Downtown
385,South River,US,22.91,clear sky,40.4465,-74.386,"Holiday Inn Express & Suites Tower Center New Brunswick, an IHG Hotel"
388,Gweru,ZW,59.32,light rain,-19.45,29.8167,Suskwe Lodges
389,Kerrobert,CA,32.2,broken clouds,51.9168,-109.1348,"Motel 6 Kerrobert, SK"
391,Irbeyskoye,RU,23.2,overcast clouds,55.6428,95.4522,"Gostinitsa ""Agul"""
392,Westport,US,21.79,clear sky,41.1415,-73.3579,The Westport Inn
395,Joue-Les-Tours,FR,43.14,clear sky,47.3522,0.6691,Hôtel Première Classe Tours Chambray lès Tours
396,Hami,CN,30.56,overcast clouds,42.8,93.45,Laoyutang Resort
400,Milkovo,RU,20.52,overcast clouds,54.7167,158.6167,"Hotel ""Geologist"""
402,Pitkyaranta,RU,21.13,light snow,61.5734,31.4792,Pitkyaranta hotel
412,San Quintin,MX,56.34,clear sky,30.4833,-115.95,Don Eddie's Landing
413,San Ramon,US,55.85,clear sky,37.7799,-121.978,San Ramon Marriott
415,Wenling,CN,46.9,light rain,28.3669,121.36,Hanting Express Wenling Wanchang North Road
418,Hofn,IS,31.46,overcast clouds,64.2539,-15.2082,Hótel Höfn
420,Shangqiu,CN,40.35,overcast clouds,34.45,115.65,Thank Inn Chain Hotel henan shangqiu railway station ticket shop
421,Yarim,YE,51.01,scattered clouds,14.298,44.3779,وليد المسوري ابو اسد
422,Lerwick,GB,39.2,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
423,Tonneins,FR,38.82,clear sky,44.3921,0.3124,Hôtel Des Fleurs SARL FLOWERS
426,Bethel,US,20.05,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
427,Fort Nelson,CA,17.65,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
428,Debica,PL,34.95,overcast clouds,50.0515,21.4114,Hotel Lord
433,Lagoa,PT,58.62,clear sky,39.05,-27.9833,Casa Das Faias
434,Vardo,NO,26.98,overcast clouds,70.3705,31.1107,Vardø Hotel AS
442,Yerofey Pavlovich,RU,12.83,scattered clouds,53.9667,121.9667,lounges and warm parking
443,Derzhavinsk,KZ,11.57,overcast clouds,51.1,66.3167,Ooo.khim Baza
444,Porto Empedocle,IT,50.9,overcast clouds,37.2934,13.5264,Hotel dei Pini
446,Kuvshinovo,RU,17.4,light snow,57.0295,34.1725,Каменка
448,Grindavik,IS,31.95,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
449,Puerto Palomas,MX,34.93,clear sky,31.7667,-107.6167,Hotel San Carlos
451,Elizabeth City,US,34.02,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
453,San Carlos De Bariloche,AR,55.24,clear sky,-41.1456,-71.3082,Hotel Patagonia
470,Durham,US,32.27,clear sky,36.0335,-78.8664,Hampton Inn & Suites Durham/North I-85
471,Balkanabat,TM,38.19,overcast clouds,39.5108,54.3671,Nebitchi Hotel
473,Murashi,RU,13.53,overcast clouds,59.3999,48.9615,Florentsiya
474,Assiniboia,CA,17.42,broken clouds,49.6334,-105.9845,Canalta Hotel Assiniboia
475,Stargard Szczecinski,PL,40.03,overcast clouds,53.3367,15.0499,"Hotel - Restauracja "" Spichlerz"""
477,General Pico,AR,56.59,clear sky,-35.6566,-63.7568,Euskadi Hotel
478,Dumas,US,36.82,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
481,Tangshan,CN,35.46,scattered clouds,39.6333,118.1833,Civil Affairs Hotel
485,Bilgram,IN,56.97,clear sky,27.1833,80.0333,Dularey Prasad Guest House
