City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Moratuwa,LK,6.773,79.8816,80.62,75,89,1.32,overcast clouds,2022-02-06 03:31:59
1,Mataura,NZ,-46.1927,168.8643,57.47,38,11,5.03,few clouds,2022-02-06 03:31:59
2,Ixtapa,MX,20.7,-105.2,72.63,73,20,4.61,few clouds,2022-02-06 03:29:44
3,Brae,GB,60.3964,-1.353,39.11,54,90,31.83,overcast clouds,2022-02-06 03:32:00
4,Touros,BR,-5.1989,-35.4608,77.9,72,35,9.4,scattered clouds,2022-02-06 03:32:02
5,Mora,CM,11.0461,14.1401,60.55,22,11,3.85,few clouds,2022-02-06 03:32:03
6,Pisco,PE,-13.7,-76.2167,68.05,88,0,4.61,clear sky,2022-02-06 03:32:03
7,Komsomolskiy,UZ,40.4272,71.7189,38.12,32,100,9.22,overcast clouds,2022-02-06 03:32:04
8,Matamba,TZ,-8.9833,33.9667,55.56,86,100,3.33,overcast clouds,2022-02-06 03:32:05
9,Rikitea,PF,-23.1203,-134.9692,79.36,69,91,14.97,overcast clouds,2022-02-06 03:32:05
10,Ichalkaranji,IN,16.7,74.4667,76.05,35,58,9.33,broken clouds,2022-02-06 03:32:06
11,Boa Vista,BR,2.8197,-60.6733,82.38,65,75,6.91,broken clouds,2022-02-06 03:32:06
12,Chumikan,RU,54.7183,135.315,5.72,65,95,10.83,overcast clouds,2022-02-06 03:32:07
13,Souillac,MU,-20.5167,57.5167,81.36,83,75,12.66,broken clouds,2022-02-06 03:32:07
14,Kapaa,US,22.0752,-159.319,78.78,73,0,3.0,clear sky,2022-02-06 03:32:08
15,New Norfolk,AU,-42.7826,147.0587,76.66,33,0,3.0,clear sky,2022-02-06 03:32:09
16,Yanam,IN,16.7333,82.2167,73.8,54,13,8.12,few clouds,2022-02-06 03:32:09
17,Sompeta,IN,18.9333,84.6,73.85,48,70,6.02,broken clouds,2022-02-06 03:32:10
18,Boende,CD,-0.2167,20.8667,69.39,78,87,1.23,overcast clouds,2022-02-06 03:32:10
19,Huilong,CN,31.8111,121.655,41.99,48,97,9.78,overcast clouds,2022-02-06 03:32:11
20,Strezhevoy,RU,60.7333,77.5889,15.78,97,100,4.12,overcast clouds,2022-02-06 03:32:12
21,Ushuaia,AR,-54.8,-68.3,49.66,57,20,18.41,few clouds,2022-02-06 03:31:28
22,Diffa,NE,13.3154,12.6113,59.77,42,0,10.33,clear sky,2022-02-06 03:32:13
23,Albany,US,42.6001,-73.9662,10.35,71,5,5.97,clear sky,2022-02-06 03:28:15
24,Anuchino,RU,43.9622,133.0544,9.09,69,100,8.77,overcast clouds,2022-02-06 03:32:13
25,Puerto Leguizamo,CO,-0.1934,-74.7819,71.47,97,53,1.88,broken clouds,2022-02-06 03:32:14
26,Daru,PG,-9.0763,143.2092,89.49,60,78,8.59,broken clouds,2022-02-06 03:32:14
27,Yellowknife,CA,62.456,-114.3525,-16.58,83,0,9.22,clear sky,2022-02-06 03:32:15
28,Saint-Philippe,RE,-21.3585,55.7679,80.19,84,99,19.98,light rain,2022-02-06 03:32:15
29,Tura,IN,25.5198,90.2201,60.84,63,0,2.8,clear sky,2022-02-06 03:32:16
30,Deep River,CA,46.1001,-77.4995,-0.06,95,93,2.77,overcast clouds,2022-02-06 03:30:21
31,Carnarvon,AU,-24.8667,113.6333,82.47,69,75,19.57,broken clouds,2022-02-06 03:32:16
32,Nikolskoye,RU,59.7035,30.7861,27.72,97,100,4.72,overcast clouds,2022-02-06 03:32:17
33,Biltine,TD,14.5333,20.9167,58.96,18,12,16.98,few clouds,2022-02-06 03:32:18
34,Zvishavane,ZW,-20.3267,30.0665,63.1,94,100,8.75,overcast clouds,2022-02-06 03:32:18
35,Severo-Kurilsk,RU,50.6789,156.125,29.71,77,81,15.82,broken clouds,2022-02-06 03:32:18
36,Qaanaaq,GL,77.484,-69.3632,-1.95,97,100,2.62,overcast clouds,2022-02-06 03:32:19
37,Olafsvik,IS,64.8945,-23.7142,29.44,69,98,28.27,overcast clouds,2022-02-06 03:32:19
38,Lebu,CL,-37.6167,-73.65,57.72,85,0,15.73,clear sky,2022-02-06 03:31:11
39,Hamilton,US,39.1834,-84.5333,18.99,88,0,1.01,clear sky,2022-02-06 03:31:42
40,Punta Arenas,CL,-53.15,-70.9167,53.71,58,40,8.05,scattered clouds,2022-02-06 03:27:54
41,Vaini,TO,-21.2,-175.2,78.96,89,100,14.97,overcast clouds,2022-02-06 03:33:21
42,Necochea,AR,-38.5473,-58.7368,60.04,71,100,18.97,overcast clouds,2022-02-06 03:29:59
43,Urucara,BR,-2.5364,-57.76,73.11,99,92,0.36,overcast clouds,2022-02-06 03:33:22
44,Asfi,MA,32.2994,-9.2372,55.9,82,37,16.22,scattered clouds,2022-02-06 03:33:22
45,Mehamn,NO,71.0357,27.8492,22.84,86,82,19.62,broken clouds,2022-02-06 03:33:23
46,Abu Dhabi,AE,24.4667,54.3667,66.31,65,0,1.99,clear sky,2022-02-06 03:33:23
47,Hermanus,ZA,-34.4187,19.2345,70.9,85,73,8.39,broken clouds,2022-02-06 03:33:24
48,Bredasdorp,ZA,-34.5322,20.0403,68.29,95,64,5.28,broken clouds,2022-02-06 03:33:24
49,Iqaluit,CA,63.7506,-68.5145,-33.07,68,40,3.44,scattered clouds,2022-02-06 03:33:25
50,Odessa,UA,46.4775,30.7326,33.73,86,0,11.18,clear sky,2022-02-06 03:33:25
51,Buchanan,LR,5.8808,-10.0467,77.32,87,36,3.04,moderate rain,2022-02-06 03:33:26
52,Atuona,PF,-9.8,-139.0333,78.22,80,42,21.88,light rain,2022-02-06 03:33:26
53,Hobart,AU,-42.8794,147.3294,77.02,43,20,1.01,few clouds,2022-02-06 03:33:26
54,Jamestown,US,42.097,-79.2353,12.72,51,0,5.75,clear sky,2022-02-06 03:32:49
55,Provideniya,RU,64.3833,-173.3,-2.67,78,0,12.41,clear sky,2022-02-06 03:28:36
56,Hambantota,LK,6.1241,81.1185,80.94,74,20,10.36,few clouds,2022-02-06 03:33:27
57,Luau,AO,-10.7073,22.2247,61.38,96,100,2.89,overcast clouds,2022-02-06 03:33:28
58,Orangeburg,US,33.4918,-80.8557,40.51,53,0,6.91,clear sky,2022-02-06 03:33:29
59,Mahebourg,MU,-20.4081,57.7,81.25,83,75,12.66,broken clouds,2022-02-06 03:33:29
60,Nemuro,JP,43.3236,145.575,27.03,64,99,23.29,overcast clouds,2022-02-06 03:33:30
