City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Saint-Philippe,RE,78.39,-21.3585,55.7679,p'ti case d'éléna
5,Busselton,AU,83.8,-33.65,115.3333,Observatory Guest House
11,Kapaa,US,78.78,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
14,Ilhabela,BR,75.04,-23.7781,-45.3581,Ilha Flat Hotel
19,Saint-Joseph,RE,77.38,-21.3667,55.6167,La Bohème
21,Rikitea,PF,78.35,-23.1203,-134.9692,People ThankYou
25,Butaritari,KI,81.61,3.0707,172.7902,Isles Sunset Lodge
28,Bathsheba,BB,77.61,13.2167,-59.5167,Atlantis Hotel
29,Cantapoy,PH,82.9,9.4906,125.4364,Brgy Pili Mountain View
37,Georgetown,MY,85.93,5.4112,100.3354,Cititel Penang
53,Hithadhoo,MV,81.46,-0.6,73.0833,Scoop Guest House
56,Kirakira,SB,82.29,-10.4544,161.9205,SanBiz Lodge
60,Atuona,PF,78.84,-9.8,-139.0333,Villa Enata
61,Thio,NC,87.76,-21.6167,166.2167,La Ferme de Thio
75,Boueni,YT,78.78,-12.9025,45.0761,Perle du Sud
81,Progreso,MX,82.51,21.2833,-89.6667,Playa Linda Hotel
86,Padang,ID,78.85,-0.9492,100.3543,Mercure Padang
88,Tecoanapa,MX,75.63,16.5167,-98.75,Cabañas El Papalote Ecologico
90,Biak,ID,84.2,-0.9131,122.8766,Ramayana Beach Hotel
91,Vaini,TO,86.16,-21.2,-175.2,Little Italy Hotel
92,Catuday,PH,80.64,16.2923,119.8062,Puerto Del Sol Beach Resort and Hotel Club
104,Acapulco,MX,78.62,16.8634,-99.8901,HS Hotsson Smart Acapulco
105,Barra Patuca,HN,76.51,15.8,-84.2833,
107,Araceli,PH,80.22,10.5529,119.9913,JBryan Traveler's Inn
117,Maningrida,AU,85.5,-12.0667,134.2667,Dhukurrdji Lodge
119,Esperance,AU,75.04,-33.8667,121.9,Hospitality Esperance
123,Meulaboh,ID,82.72,4.1363,96.1285,Kost Pria
124,Camacari,BR,82.17,-12.6975,-38.3242,Hotel Cambuci
135,Alofi,NU,82.29,-19.0595,-169.9187,Scenic Matavai Resort Niue
136,Camocim,BR,77.54,-2.9022,-40.8411,Ilha Praia Hotel
141,Port Blair,IN,78.84,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
149,Port Augusta,AU,80.71,-32.5,137.7667,Majestic Oasis Apartments
157,Merauke,ID,84.31,-8.4667,140.3333,Swiss-Belhotel Merauke
159,Bambous Virieux,MU,80.22,-20.3428,57.7575,Laguna Beach Hotel & Spa
160,Wajir,KE,76.17,1.7471,40.0573,Al-bustan Hotel And Restaurant.
162,Porto Novo,BJ,80.42,6.4965,2.6036,Tour Eiffel Hotel Benin
165,Charters Towers,AU,88.27,-20.1,146.2667,Cattleman's Rest Motor Inn
167,Salalah,OM,75.29,17.0151,54.0924,Al Jabal
169,Isangel,VU,89.71,-19.55,169.2667,Tanna Lodge
172,Gambela,ET,80.1,8.25,34.5833,Solomon Debebe Hotel
174,Cidreira,BR,75.74,-30.1811,-50.2056,Residencial Mar de Abelhas
175,Namatanai,PG,79.27,-3.6667,152.4333,Seagulls Inn Namatani
177,Ahipara,NZ,75.38,-35.1667,173.1667,Ahipara Holiday Park
180,Tautira,PF,87.82,-17.7333,-149.15,Pension Oaoa
185,Bubaque,GW,77.52,11.2833,-15.8333,0
