City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Philippe,RE,2022-02-03 02:36:21,-21.3585,55.7679,78.39,93,100,36.15
1,Cobija,BO,2022-02-03 02:36:21,-11.0267,-68.7692,71.67,99,96,2.17
2,Dubrovnik,HR,2022-02-03 02:36:22,42.6481,18.0922,46.04,39,0,11.5
3,Qaanaaq,GL,2022-02-03 02:36:22,77.484,-69.3632,-10.59,81,100,6.8
4,Farafangana,MG,2022-02-03 02:36:23,-22.8167,47.8333,73.4,81,30,6.46
5,Busselton,AU,2022-02-03 02:36:23,-33.65,115.3333,83.8,33,84,10.67
6,Marsh Harbour,BS,2022-02-03 02:35:29,26.5412,-77.0636,71.08,71,57,20.94
7,Kasongo-Lunda,CD,2022-02-03 02:36:24,-6.4667,16.8167,69.22,98,100,1.23
8,Codrington,AU,2022-02-03 02:36:24,-38.2667,141.9667,62.78,58,99,17.02
9,Homer,US,2022-02-03 02:31:38,59.6425,-151.5483,31.77,83,0,8.05
10,Hami,CN,2022-02-03 02:36:25,42.8,93.45,24.85,33,95,1.28
11,Kapaa,US,2022-02-03 02:36:25,22.0752,-159.319,78.78,68,0,1.99
12,Mamlyutka,KZ,2022-02-03 02:36:26,54.9375,68.5394,13.62,96,94,7.23
13,Cape Town,ZA,2022-02-03 02:35:02,-33.9258,18.4232,66.61,87,40,3.0
14,Ilhabela,BR,2022-02-03 02:36:26,-23.7781,-45.3581,75.04,90,100,5.35
15,Albany,US,2022-02-03 02:35:52,42.6001,-73.9662,43.38,81,100,4.21
16,Penzance,GB,2022-02-03 02:36:27,50.1186,-5.5371,47.08,83,100,11.34
17,Nioro,GM,2022-02-03 02:36:28,13.35,-15.75,73.2,62,15,5.73
18,Molepolole,BW,2022-02-03 02:36:28,-24.4066,25.4951,73.54,68,6,5.84
19,Saint-Joseph,RE,2022-02-03 02:36:29,-21.3667,55.6167,77.38,92,100,34.25
20,Chowchilla,US,2022-02-03 02:36:29,37.123,-120.2602,53.28,71,0,0.0
21,Rikitea,PF,2022-02-03 02:32:54,-23.1203,-134.9692,78.35,75,69,9.93
22,Bandarbeyla,SO,2022-02-03 02:36:30,9.4942,50.8122,73.27,75,8,14.45
23,Ushuaia,AR,2022-02-03 02:36:30,-54.8,-68.3,42.46,61,75,20.71
24,Ostrovnoy,RU,2022-02-03 02:36:31,68.0531,39.5131,20.16,90,100,14.52
25,Butaritari,KI,2022-02-03 02:36:31,3.0707,172.7902,81.61,78,100,15.64
26,Coihaique,CL,2022-02-03 02:36:31,-45.5752,-72.0662,58.95,77,100,6.91
27,Vostok,RU,2022-02-03 02:36:32,46.4856,135.8833,3.58,83,100,6.85
28,Bathsheba,BB,2022-02-03 02:36:32,13.2167,-59.5167,77.61,78,40,19.57
